               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027665,            0.026106,           0.0040103,             0.78891,             0.69056,             0.69976,             0.43666,            0.027954,            0.022922,           0.0043524,            0.006535,            0.006535,            0.006535
                  37,             0.02923,            0.026834,           0.0039531,             0.74412,             0.70728,             0.71261,             0.42458,            0.026987,            0.022892,           0.0044146,            0.006436,            0.006436,            0.006436
                  38,            0.028951,            0.027832,           0.0040462,              0.7552,             0.67567,             0.69657,             0.44841,            0.026278,            0.023189,           0.0048907,            0.006337,            0.006337,            0.006337
                  39,            0.029123,            0.028115,           0.0035122,             0.72892,              0.6838,             0.69234,             0.42397,            0.026739,            0.022748,            0.004564,            0.006238,            0.006238,            0.006238
                  40,            0.027658,            0.027549,           0.0034784,             0.77898,             0.66853,             0.68134,             0.42851,             0.02826,            0.023491,           0.0047109,            0.006139,            0.006139,            0.006139
                  41,            0.027265,            0.027404,           0.0032747,             0.77914,             0.71062,             0.70658,             0.45089,            0.026427,            0.022884,           0.0055594,             0.00604,             0.00604,             0.00604
                  42,              0.0275,            0.026306,            0.003375,             0.74539,             0.70499,             0.71781,             0.44674,            0.026501,            0.023367,           0.0048003,            0.005941,            0.005941,            0.005941
                  43,             0.02765,            0.026706,           0.0033401,             0.82491,             0.69827,             0.72163,             0.45877,            0.025757,            0.022929,           0.0039284,            0.005842,            0.005842,            0.005842
                  44,            0.027019,            0.028119,           0.0033333,             0.81245,              0.6903,             0.72691,              0.4552,            0.026726,            0.023024,            0.004417,            0.005743,            0.005743,            0.005743
                  45,            0.027138,            0.026506,           0.0030705,             0.76104,             0.70599,             0.73106,             0.46043,             0.02692,            0.023285,           0.0040344,            0.005644,            0.005644,            0.005644
                  46,            0.026899,            0.026405,           0.0030698,             0.75065,             0.68726,             0.70944,             0.43804,            0.026245,            0.023445,           0.0055861,            0.005545,            0.005545,            0.005545
                  47,            0.026548,            0.025037,            0.002777,             0.86255,             0.64209,             0.72346,             0.45735,            0.026341,            0.023586,           0.0038721,            0.005446,            0.005446,            0.005446
                  48,            0.026152,            0.026473,           0.0031321,             0.84905,             0.65916,             0.73436,             0.46476,            0.026112,            0.022868,           0.0040009,            0.005347,            0.005347,            0.005347
                  49,            0.025787,            0.025492,           0.0027396,             0.73466,             0.70673,             0.70723,             0.44342,            0.026554,            0.022735,           0.0045884,            0.005248,            0.005248,            0.005248
                  50,            0.025701,            0.025069,           0.0029596,             0.82725,             0.64769,             0.71031,             0.45451,            0.025712,            0.022978,           0.0039271,            0.005149,            0.005149,            0.005149
                  51,            0.025905,            0.025268,           0.0028185,              0.8308,             0.63945,             0.71941,             0.45012,            0.027038,            0.023225,           0.0039599,             0.00505,             0.00505,             0.00505
                  52,            0.025919,            0.024568,           0.0026698,             0.77593,             0.68225,             0.73313,             0.46517,            0.025504,            0.023343,           0.0035744,            0.004951,            0.004951,            0.004951
                  53,            0.024697,            0.025465,           0.0022744,             0.81085,             0.66479,             0.74005,             0.47661,            0.025881,            0.023397,           0.0035979,            0.004852,            0.004852,            0.004852
                  54,            0.024754,            0.025148,            0.002195,             0.73899,             0.69766,             0.73182,             0.46122,            0.026126,            0.023189,           0.0040118,            0.004753,            0.004753,            0.004753
